名称,日期,值,来源,频率,单位,指标ID
美国:CPI:季调,2025-12-31,326.03,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-11-30,325.031,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-09-30,324.368,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-08-31,323.364,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-07-31,322.132,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-06-30,321.5,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-05-31,320.58,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-04-30,320.321,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-03-31,319.615,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-02-28,319.775,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2025-01-31,319.086,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-12-31,317.603,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-11-30,316.449,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-10-31,315.564,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-09-30,314.851,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-08-31,314.131,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-07-31,313.566,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-06-30,313.131,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-05-31,313.14,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-04-30,313.016,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
美国:CPI:季调,2024-03-31,312.107,美国劳工统计局（BLS）,月,1982-84年=100,G0000036
